placetype_subject,geometry_type_subject,placetype_object,geometry_type_object,Sentence,place_name_subject,place_name_object,vernacular_relation,spatial_relation,relation_predicate
county,Polygon,town,Polygon,"""About 20 miles (32 km) south of San Francisco, the city borders Burlingame to the north, Hillsborough to the west, San Francisco Bay and Foster City to the east and Belmont to the south.""","San Mateo, California","Burlingame, California",borders,touches,borders
county,Polygon,town,Polygon,"""About 20 miles (32 km) south of San Francisco, the city borders Burlingame to the north, Hillsborough to the west, San Francisco Bay and Foster City to the east and Belmont to the south.""","San Mateo, California","Foster City, California",borders,touches,borders
county,Polygon,town,Polygon,"""About 20 miles (32 km) south of San Francisco, the city borders Burlingame to the north, Hillsborough to the west, San Francisco Bay and Foster City to the east and Belmont to the south.""","San Mateo, California","Hillsborough, California",borders,touches,borders
county,Polygon,bay,Polygon,"""About 20 miles (32 km) south of San Francisco, the city borders Burlingame to the north, Hillsborough to the west, San Francisco Bay and Foster City to the east and Belmont to the south.""","San Mateo, California","San Francisco Bay, California",borders,touches,borders
city,Polygon,village,Polygon,"""The city is located on the Texas-New Mexico border with the city of Texico, New Mexico, across the border.""","Farwell, Texas","Texico, New Mexico",borders,touches,borders
county,Polygon,state,Polygon,"""It is the easternmost city in Texas, located on the Sabine River at the border with Louisiana, and is 113 miles (182 km) from Houston.""",Orange,Louisiana,borders,touches,borders
city,Polygon,municipality,Polygon,bordered by,"Colby,wisconsin","town of colby,wisconsin",borders,touches,borders
city,Polygon,man_made,Polygon,"""Eagle Pass borders the city of Piedras Negras, Coahuila, Mexico, which is to the southwest and across the Rio Grande.""","Eagle Pass, Texas","Piedras Negras, Texas",borders,overlaps,borders
city,Polygon,hamlet,Polygon,"""Palo Alto includes portions of Stanford University and borders East Palo Alto, Mountain View, Los Altos, Los Altos Hills, Stanford, Portola Valley, and Menlo Park.""","Palo Alto, California","Stanford, California",borders,overlaps,borders
city,Polygon,city,Polygon,"""Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County, close to the Pacific Ocean, and borders the cities of Aliso Viejo, Dana Point, Laguna Beach, Laguna Hills, Mission Viejo, and San Juan Capistrano.""","Laguna Niguel, California","Aliso Viejo, California",borders,touches,borders
village,Polygon,city,MultiPolygon,"""It borders San Antonio to the northeast, and is adjacent to Randolph Air Force Base.""","Universal City, Texas","San Antonio, Texas",borders,touches,borders
city,Polygon,city,MultiPolygon,"""Nassau Bay is a city in Harris County, Texas, United States, bordering the southeastern edge of the city of Houston.""","Nassau Bay, Texas","Houston, Texas",borders,touches,borders
city,Polygon,municipality,Polygon,borders,"Durand,wisconsin","town of durand ,wisconsin",borders,touches,borders
city,Polygon,city,Polygon,"""Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County, close to the Pacific Ocean, and borders the cities of Aliso Viejo, Dana Point, Laguna Beach, Laguna Hills, Mission Viejo, and San Juan Capistrano.""","Laguna Niguel, California","Dana Point, California",borders,touches,borders
city,Polygon,city,Polygon,"""Palo Alto includes portions of Stanford University and borders East Palo Alto, Mountain View, Los Altos, Los Altos Hills, Stanford, Portola Valley, and Menlo Park.""","Palo Alto, California","East Palo Alto, California",borders,touches,borders
city,Polygon,city,Polygon,"""Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County, close to the Pacific Ocean, and borders the cities of Aliso Viejo, Dana Point, Laguna Beach, Laguna Hills, Mission Viejo, and San Juan Capistrano.""","Laguna Niguel, California","Laguna Beach, California",borders,touches,borders
city,Polygon,city,Polygon,"""Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County, close to the Pacific Ocean, and borders the cities of Aliso Viejo, Dana Point, Laguna Beach, Laguna Hills, Mission Viejo, and San Juan Capistrano.""","Laguna Niguel, California","Laguna Hills, California",borders,touches,borders
city,Polygon,town,Polygon,"""Palo Alto includes portions of Stanford University and borders East Palo Alto, Mountain View, Los Altos, Los Altos Hills, Stanford, Portola Valley, and Menlo Park.""","Palo Alto, California","Los Altos Hills, California",borders,touches,borders
city,Polygon,city,Polygon,"""Palo Alto includes portions of Stanford University and borders East Palo Alto, Mountain View, Los Altos, Los Altos Hills, Stanford, Portola Valley, and Menlo Park.""","Palo Alto, California","Los Altos, California",borders,touches,borders
town,Polygon,county,MultiPolygon,"""The city borders Los Angeles County on its northwest side, Orange County to its south and southwest, and Riverside County to its southeast.""","Chino Hills, California","Los Angeles County, California",borders,touches,borders
city,Polygon,town,Polygon,"""Palo Alto includes portions of Stanford University and borders East Palo Alto, Mountain View, Los Altos, Los Altos Hills, Stanford, Portola Valley, and Menlo Park.""","Palo Alto, California","Menlo Park, California",borders,touches,borders
city,Polygon,city,MultiPolygon,borders,"Onalaska,wisconsin","la crosse,wisconsin",borders,touches,borders
city,Polygon,city,MultiPolygon,"""Palo Alto includes portions of Stanford University and borders East Palo Alto, Mountain View, Los Altos, Los Altos Hills, Stanford, Portola Valley, and Menlo Park.""","Palo Alto, California","Mountain View, California",borders,touches,borders
city,Polygon,town,Polygon,"""Palo Alto includes portions of Stanford University and borders East Palo Alto, Mountain View, Los Altos, Los Altos Hills, Stanford, Portola Valley, and Menlo Park.""","Palo Alto, California","Portola Valley, California",borders,touches,borders
city,Polygon,city,Polygon,"""Bryan borders the city of College Station, which lies to its south.""","Bryan, Texas","College Station, Texas",borders,touches,borders
city,Polygon,city,Polygon,"""Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County, close to the Pacific Ocean, and borders the cities of Aliso Viejo, Dana Point, Laguna Beach, Laguna Hills, Mission Viejo, and San Juan Capistrano.""","Laguna Niguel, California","Mission Viejo, California",borders,touches,borders
city,Polygon,town,Polygon,"""It borders the cities of Oakland and Emeryville to the south and the city of Albany and the unincorporated community of Kensington to the north.""","Berkeley, California","Emeryville, California",borders,touches,borders
city,Polygon,city,Polygon,"""Laguna Niguel is located in the San Joaquin Hills in the southeastern corner of Orange County, close to the Pacific Ocean, and borders the cities of Aliso Viejo, Dana Point, Laguna Beach, Laguna Hills, Mission Viejo, and San Juan Capistrano.""","Laguna Niguel, California","San Juan Capistrano, California",borders,touches,borders
city,Polygon,city,Polygon,"""It borders the cities of Oakland and Emeryville to the south and the city of Albany and the unincorporated community of Kensington to the north.""","Berkeley, California","Oakland, California",borders,touches,borders
city,Polygon,city,Polygon,"""Stanton is bounded by Cypress on the west, Anaheim on the north, and east, and Garden Grove on the east and south.""","Stanton, California","Anaheim, California",bounded by,touches,is bounded by
city,Polygon,city,Polygon,"""Stanton is bounded by Cypress on the west, Anaheim on the north, and east, and Garden Grove on the east and south.""","Stanton, California","Cypress , California",bounded by,touches,is bounded by
city,Polygon,city,Polygon,"""Stanton is bounded by Cypress on the west, Anaheim on the north, and east, and Garden Grove on the east and south.""","Stanton, California","Garden Grove, California",bounded by,touches,is bounded by
town,Polygon,village,Polygon,"The city is bounded by Topanga on the east, the Santa Monica Mountains (Agoura Hills, Calabasas, and Woodland Hills) to the north, the Pacific Ocean to the south, and Solromar in Ventura County to the west","Malibu, california","Topanga, california",bounded by,touches,is bounded by
town,Polygon,moutain_range,linestring,"The city is bounded by Topanga on the east, the Santa Monica Mountains (Agoura Hills, Calabasas, and Woodland Hills) to the north, the Pacific Ocean to the south, and Solromar in Ventura County to the west","Malibu, california",Santa Monica Mountains,bounded by,crosses,is bounded by
protected_area,Polygon,city,Polygon,"""It is bounded to the north by the San Gabriel Mountains, to the north and west by the cities of Bradbury and Monrovia, to the south by the city of Irwindale, and to the east by the cities of Irwindale and Azusa.""","San Gabriel Mountains, California","Duarte, California",bounded to the direction,overlaps,is bounded by
town,Polygon,city,Polygon,"""It is bounded to the north by the San Gabriel Mountains, to the north and west by the cities of Bradbury and Monrovia, to the south by the city of Irwindale, and to the east by the cities of Irwindale and Azusa.""","Azusa, California","Duarte, California",bounded to the direction,touches,is bounded by
city,Polygon,city,Polygon,"""It is bounded to the north by the San Gabriel Mountains, to the north and west by the cities of Bradbury and Monrovia, to the south by the city of Irwindale, and to the east by the cities of Irwindale and Azusa.""","Irwindale, California","Duarte, California",bounded to the direction,touches,is bounded by
city,Polygon,city,Polygon,"""It is bounded to the north by the San Gabriel Mountains, to the north and west by the cities of Bradbury and Monrovia, to the south by the city of Irwindale, and to the east by the cities of Irwindale and Azusa.""","Monrovia, California","Duarte, California",bounded to the direction and direction,touches,is bounded by
city,Polygon,amenity,Polygon,"""Los Angeles is the commercial, financial, and cultural center of Southern California.""","Los Angeles, California","Southern California, California",center of,contains,center of
city,Polygon,city,MultiPolygon,close to,"Delavan,wisconsin","lake geneva ,wisconsin",close to,disjoint,close to
city,Polygon,county,Polygon,"""The population of the Greater Marshall area, comprising all of Harrison County, was 65,631 in 2010, and 66,726 in 2018.""","Marshall, Texas","Harrison County, Texas",compres,within,compres
industrial,LineString,city,MultiPolygon,Interstate 94 connects Kenosha to the Chicago and Milwaukee metro areas,"interstate 94,wisconsin",Chicago,connect,crosses,connect C and
man_made,Polygon,town,Polygon,"""The Rainbow Bridge across the Neches River connects Port Arthur to Bridge City.""","Rainbow Bridge, Texas","Bridge City, Texas",connect,crosses,connect C and
man_made,Polygon,city,MultiPolygon,"""The Rainbow Bridge across the Neches River connects Port Arthur to Bridge City.""","Rainbow Bridge, Texas","Port Arthury, Texas",connect,crosses,connect C and
